id,text,label,severity
8991,Gusse se sab tod dena chahta hoon kabhi kabhi. in class,anger,green
3434,"Constant worrying about future, kya hoga? rank zero, dignity zero :/ at office 🙃 lol",anxiety,red
1088,"Midterms -> sleepless nights, headache and stress feeling kabhi kabhi low AF lol",stress,green
6486,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta. 😭 at hostel #collegeLife",loneliness,green
10063,"Average day, nothing major happened in class 😤",neutral,green
3288,"Constant worrying about future, kya hoga? Kuch kuch hota hai… but sadness hi hota hai 😤",anxiety,green
6926,"No one to talk to, feel so alone. yeh toh nahi chalta",loneliness,green
3707,"Constant worrying about future, kya hoga? at office",anxiety,amber
1958,"Ghar wale expect kar rahe hain kuch, pressure lagta hai in Kolkata",stress,green
3144,"Social situations make me freeze, nervous AF ugh 😔 at office",anxiety,green
2863,"Constant worrying about future, kya hoga? dimag ka dahi ho gaya",anxiety,red
7150,Feels like I'm invisible in my own circle,loneliness,green
4253,"Life monotonous and sad, can't smile genuinely #examseason",sadness,amber
6700,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta.",loneliness,amber
10076,"Chill day, college gaya and aaya. at hostel #collegeLife",neutral,green
7758,"Thak gaya hoon, motivation zero, subah uthna mushkil. yeh toh nahi chalta",burnout,green
5035,"Dil toot gaya, kuch karne ka mann nahi. 😔",sadness,green
2849,"Raat ko neend nahi aati, kal se darr lag raha hai. brb",anxiety,green
8930,"Anger outbursts are frequent, then guilt follows rank zero, dignity zero :/ 😭 fr",anger,green
4610,"Feels like crying for no reason, empty inside idk what to do seriously",sadness,amber
9165,"Road rage yesterday, felt like shouting at everyone 👌",anger,green
4834,"Lost motivation, nothing seems enjoyable anymore in lab",sadness,green
6408,"Friends busy, lagta hai koi samajhta hi nahi. in lab 🤯",loneliness,green
4986,"Life monotonous and sad, can't smile genuinely lagta hai fail ho jaunga 😭",sadness,green
3112,"Meeting se pehle stomach ghabra jaata hai, anxiety attack",anxiety,red
7263,I used to love coding but now it's just fatigue,burnout,green
3466,"Constant worrying about future, kya hoga? Kuch kuch hota hai… but sadness hi hota hai",anxiety,green
34,"Assignment deadline par bahut pressure hai, dimag kharab. 👌",stress,green
2255,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi.",anxiety,green
3406,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. 😤",anxiety,red
9557,"They betrayed me, can't forgive easily idk what to do",anger,green
5157,"Lagta hai sab door ho gaye, bas udasi hi reh gai. lol",sadness,green
6878,"No one to talk to, feel so alone. ugh 😔 in class 😓",loneliness,green
9881,"Chill day, college gaya and aaya. in class",neutral,green
3961,"Social situations make me freeze, nervous AF smh at hostel 😔",anxiety,green
734,"Group project ka kaam sab meray upar, too much stress at office",stress,amber
5913,Family around but still feel lonely inside,loneliness,green
569,"Midterms -> sleepless nights, headache and stress in lab",stress,green
4076,"Feels like crying for no reason, empty inside 🙃",sadness,green
5992,"No one to talk to, feel so alone. ugh 😔",loneliness,green
3618,"Raat ko neend nahi aati, kal se darr lag raha hai. at hostel idk",anxiety,green
9114,"Road rage yesterday, felt like shouting at everyone at hostel 🤯",anger,green
5200,"Lagta hai sab door ho gaye, bas udasi hi reh gai. yeh toh nahi chalta 🤝",sadness,amber
40,"Ghar wale expect kar rahe hain kuch, pressure lagta hai 😭",stress,green
8926,"Woh person ne bahut bura kiya, ab control nahi hota. LOL (not funny) 🤝",anger,green
9414,"Anger outbursts are frequent, then guilt follows",anger,green
9330,Gusse se sab tod dena chahta hoon kabhi kabhi. LOL (not funny) in class lol,anger,green
6730,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta. LOL (not funny) at hostel",loneliness,green
2305,"Constant worrying about future, kya hoga? life sasta nasha lag raha hai",anxiety,red
1473,"Group project ka kaam sab meray upar, too much stress at hostel fr",stress,green
1356,"Can't focus at all, sab kuch ulti tarah ho raha hai.",stress,green
